replicate,cycle,fluorescence
15,15,4853.444447175393
15,16,8733.445460412935
15,17,15747.76704991522
15,18,28490.897107045315
15,19,51477.47656613147
15,20,93200.60647615272
15,21,168763.59420608415
15,22,305146.5615655352
15,23,551576.2296551588
15,24,996355.5875579295
15,25,1796100.643837279
15,26,3227167.438220541
15,27,5759790.029663651
15,28,10160983.081276545
15,29,17564965.293477193
15,30,29309223.316394463
15,31,46111524.125310704
15,32,66266979.45534118
15,33,84395884.38089982
15,34,95080657.93027736
15,35,98876241.91100334
16,0,48.41593588922521
16,1,55.593495579392744
16,2,62.12494287986748
16,3,57.4516542528685
16,4,59.08610583238567
16,5,64.32021254208385
16,6,76.23492841227053
16,7,100.61102404452873
16,8,124.9700885472912
16,9,179.23978315720217
16,10,294.9950801331529
16,11,496.14256229689965
16,12,852.9547065797516
16,13,1505.6553644255391
16,14,2709.552669393984
16,15,4859.5864769211075
16,16,8763.511205969588
16,17,15810.277819897705
16,18,28604.49792882954
16,19,51710.0618986407
16,20,93667.54376993614
16,21,169548.15866003835
16,22,306913.24249744124
16,23,554914.4926607624
16,24,1002218.0917489276
16,25,1806860.4262686886
16,26,3246651.1897135144
16,27,5794785.581762688
16,28,10222842.39505631
16,29,17666968.141755324
16,30,29465036.573663834
16,31,46326403.66335426
16,32,66497565.057794966
16,33,84566992.67829418
16,34,95149818.88141702
16,35,98895029.88379455
17,0,46.59546918384889
17,1,43.66242194543078
17,2,57.555596901917355
17,3,61.30805591209218
17,4,64.01185319637304
17,5,65.2839659165396
17,6,86.90468695778745
